question_id,mu,sigma,se_before,se_mean,se_std,delta_se,question,answer_1,answer_2,answer_3,answer_4,answer_5,answer_6,answer_7,answer_8,answer_9,answer_10
qb_637--10/10_282457.txt#0_0,1.0,0.5,-2.22e-16,2.111035407,0.030860662,-0.027185005,,,,,,,,,,,
qb_637--10/10_282457.txt#0_0,1.0,1.0,-2.22e-16,2.03607331,0.071427804,-0.102147102,,,,,,,,,,,
qb_637--10/10_282457.txt#0_0,1.0,2.0,-2.22e-16,1.781811835,0.190306106,-0.356408577,,,,,,,,,,,
qb_637--10/10_282457.txt#0_0,2.0,0.5,-2.22e-16,2.10918306,0.030313275,-0.029037352,,,,,,,,,,,
qb_637--10/10_282457.txt#0_0,2.0,1.0,-2.22e-16,2.036059342,0.068331758,-0.10216107,,,,,,,,,,,
qb_637--10/10_282457.txt#0_0,2.0,2.0,-2.22e-16,1.79089718,0.181289979,-0.347323231,,,,,,,,,,,
qw_11443--84/84_2975478.txt#0_0,0.0,0.5,-2.22e-16,0.103078517,0.015187731,-0.0012751,,,,,,,,,,,
qw_11443--84/84_2975478.txt#0_0,0.0,1.0,-2.22e-16,0.104445731,0.031747751,9.21142e-05,,,,,,,,,,,
qw_11443--84/84_2975478.txt#0_0,0.0,2.0,-2.22e-16,0.101638941,0.062265262,-0.002714676,,,,,,,,,,,
qw_11443--84/84_2975478.txt#0_0,0.5,0.5,-2.22e-16,0.104695035,0.015447194,0.000341418,,,,,,,,,,,
qw_11443--84/84_2975478.txt#0_0,0.5,1.0,-2.22e-16,0.107027654,0.031696551,0.002674037,,,,,,,,,,,
qw_11443--84/84_2975478.txt#0_0,0.5,2.0,-2.22e-16,0.113613068,0.071884091,0.009259451,,,,,,,,,,,
qw_11443--84/84_2975478.txt#0_0,1.0,0.5,-2.22e-16,0.104493471,0.016591481,0.000139854,,,,,,,,,,,
qw_11443--84/84_2975478.txt#0_0,1.0,1.0,-2.22e-16,0.106796683,0.037741234,0.002443066,,,,,,,,,,,
qw_11443--84/84_2975478.txt#0_0,1.0,2.0,-2.22e-16,0.108492797,0.092036162,0.00413918,,,,,,,,,,,
qw_11443--84/84_2975478.txt#0_0,2.0,0.5,-2.22e-16,0.105925044,0.017051283,0.001571427,,,,,,,,,,,
qw_11443--84/84_2975478.txt#0_0,2.0,1.0,-2.22e-16,0.110298803,0.038792774,0.005945186,,,,,,,,,,,
qw_11443--84/84_2975478.txt#0_0,2.0,2.0,-2.22e-16,0.114620379,0.092905828,0.010266762,,,,,,,,,,,
jp_742--32/32_1368333.txt#0_2,0.0,0.5,-2.22e-16,1.323700143,0.046734271,-0.008480026,,,,,,,,,,,
jp_742--32/32_1368333.txt#0_2,0.0,1.0,-2.22e-16,1.293077159,0.092547726,-0.03910301,,,,,,,,,,,
jp_742--32/32_1368333.txt#0_2,0.0,2.0,-2.22e-16,1.145398508,0.177049186,-0.186781661,,,,,,,,,,,
jp_742--32/32_1368333.txt#0_2,0.5,0.5,-2.22e-16,1.320478443,0.049117908,-0.011701726,,,,,,,,,,,
jp_742--32/32_1368333.txt#0_2,0.5,1.0,-2.22e-16,1.285711263,0.098179543,-0.046468906,,,,,,,,,,,
jp_742--32/32_1368333.txt#0_2,0.5,2.0,-2.22e-16,1.136316352,0.194282261,-0.195863817,,,,,,,,,,,
jp_742--32/32_1368333.txt#0_2,1.0,0.5,-2.22e-16,1.321049929,0.048601662,-0.011130241,,,,,,,,,,,
jp_742--32/32_1368333.txt#0_2,1.0,1.0,-2.22e-16,1.285639928,0.10101334,-0.046540241,,,,,,,,,,,
jp_742--32/32_1368333.txt#0_2,1.0,2.0,-2.22e-16,1.136061786,0.202992967,-0.196118383,,,,,,,,,,,
